z,H,dH_dz,S_rel,dlnS_dlna,Omega_m,Omega_r,Omega_geom,Delta_H,w_geom
0.655,97.95222539651454,60.04560486179956,0.4729067821424421,2.0290600983081775,0.6759172147813568,0.0003271134910266477,0.32375567172761655,4.683753385137379e-16,-0.9999999999999996
0.6639726027397261,98.49242830584666,60.36574309390782,0.467733490228188,2.039688621350089,0.6794553957241459,0.0003306085444128456,0.3202139957314412,-1.71954464556201e-16,-1.0000000000000002
0.6729452054794521,99.03549582001634,60.68412925352801,0.46261786134631927,2.050198713961834,0.6829541008501302,0.00033410285286093706,0.31671179629700885,-3.870601755773251e-16,-1.0000000000000004
0.6819178082191781,99.58141226678235,61.00077416571651,0.4575595188756665,2.0605911494729616,0.686413588180925,0.0003375962325466043,0.3132488155865284,3.8142232428040046e-16,-0.9999999999999996
0.6908904109589041,100.13016207194279,61.31568885608122,0.45255807533344594,2.070866723527233,0.6898341231677082,0.00034108850602703237,0.30982478832626476,2.645453300864631e-16,-0.9999999999999997
0.6998630136986302,100.68172976107184,61.62888453694361,0.4476131330499898,2.081026252696726,0.6932159782294304,0.0003445795021088322,0.3064394422684608,-7.528699885739343e-16,-1.0000000000000009
0.7088356164383562,101.23609996113491,61.94037259397251,0.4427242848225123,2.091070573138975,0.6965594323053707,0.00034806905571586373,0.30309249863891347,-1.459336124165489e-16,-1.0000000000000002
0.7178082191780822,101.79325740198587,62.250164573281836,0.4378911145481263,2.1010005392967344,0.699864770421902,0.00035155700775715143,0.2997836725703409,-8.326672684688674e-17,-1.0
0.7267808219178084,102.35318691775028,62.558272168982626,0.4331131978363511,2.1108170226398677,0.7031322832732957,0.0003550432049950693,0.29651267352170924,2.480654570646834e-16,-0.9999999999999997
0.7357534246575343,102.9158734480993,62.864707211180324,0.4283901026013708,2.120520910448818,0.7063622668163873,0.0003585274999139619,0.2932792056836988,3.6038880213418167e-16,-0.9999999999999996
0.7447260273972603,103.48130203941761,63.16948165440808,0.4237213896343283,2.1301131046390887,0.7095550218789103,0.0003620097505893584,0.29008296837050035,2.480654570646834e-16,-0.9999999999999997
0.7536986301369863,104.04945784586953,63.472607566486396,0.4191066131559571,2.1395945206261056,0.7127108537812913,0.0003654898205579231,0.2869236563981508,1.1384122811097797e-16,-0.9999999999999999
0.7626712328767125,104.62032613036726,63.774097117799535,0.4145453213498673,2.148966086229811,0.715830071971686,0.00036896757868827725,0.2838009604496257,-2.8384412875670506e-16,-1.0000000000000004
0.7716438356164385,105.19389226544432,64.07396257097906,0.4100370568768251,2.158228740618299,0.7189129896740291,0.0003724428990528173,0.28071456742691814,3.950832716537178e-16,-0.9999999999999996
