z,H,dH_dz,S_rel,dlnS_dlna,Omega_m,Omega_r,Omega_geom,Delta_H,w_geom,H_p16,H_p50,H_p84,dH_dz_p16,dH_dz_p50,dH_dz_p84,S_rel_p16,S_rel_p50,S_rel_p84,dlnS_dlna_p16,dlnS_dlna_p50,dlnS_dlna_p84,Omega_m_p16,Omega_m_p50,Omega_m_p84,Omega_geom_p16,Omega_geom_p50,Omega_geom_p84,Delta_H_p16,Delta_H_p50,Delta_H_p84,w_geom_p16,w_geom_p50,w_geom_p84,reconstruction,H0_anchor_sigma,gp_length_scale
0.5652739726027398,95.40061821166427,58.120572831490364,0.4985420313884239,1.907212377262576,0.6028327543277159,0.00027592697221929304,0.39689131870006483,0.09761040639055116,-0.9180208772599228,91.88673768058624,95.41380529558549,98.69379115155084,46.44644834781082,56.32169064839677,66.52654767550362,0.4658268270684015,0.49840423505829934,0.537401039865281,1.5355302441908976,1.8505535539521838,2.158873458894517,0.5632738094706323,0.6026661321855589,0.6498207345493806,0.3498818312676186,0.39705801710805655,0.43646837037002517,-0.2974604158206951,0.029472826064420615,0.38849513362157084,-1.2734182240077223,-0.975416207596443,-0.686862749385187,gp_planck_anchor,0.54,0.65
0.5742465753424658,95.9233791496291,58.40342929116134,0.49312295323337846,1.9169758064183477,0.6065930921937661,0.00027923970325641076,0.3931276681029775,0.09607957102402376,-0.9185340379902098,92.34842932233744,95.88517691472049,99.2323473910937,46.71460361148928,56.545577053615006,66.95355892866472,0.4607843189038203,0.4935159684992799,0.5320410844036685,1.5498864509123957,1.855479483445923,2.169897159527847,0.566813171046988,0.6070765423026271,0.6544664863933183,0.34523223581469303,0.392643995442184,0.43292590158057426,-0.30198433720901124,0.02999710698066141,0.39616676113792704,-1.2841828869757952,-0.974092999456404,-0.6851161117638468,gp_planck_anchor,0.54,0.65
0.5832191780821918,96.44868310174621,58.68740586298258,0.4877660317314132,1.9267246267354181,0.6103214718951295,0.0002825573712939874,0.38939597073357646,0.09462998156485357,-0.9189942126805766,92.88347417305289,96.36939738562762,99.76692730094028,46.61102576030777,56.84330524286912,67.29306086159109,0.45585955586172344,0.4885691540928697,0.525929208121496,1.5627491426886153,1.8661115319719856,2.1868486305250627,0.5703982176114069,0.611326385705991,0.6580734768961959,0.34162185823403846,0.3883905916829719,0.4293377080795923,-0.30950658783619106,0.030959369109496093,0.4038064098956855,-1.2806600516239586,-0.9729178607415494,-0.6769779454392332,gp_planck_anchor,0.54,0.65
0.5921917808219179,96.97653992671385,58.972458775013315,0.4824705261427567,1.9364572963191578,0.6140177013484366,0.0002858796353477921,0.3856964190162156,0.09326067373245694,-0.9194006225843508,93.34498017112449,96.90509707607535,100.3033005241057,46.73348557093476,57.13161104741961,67.54155185272703,0.4509971228010649,0.48318218712853256,0.5207415382374744,1.5770607476340806,1.883012591444877,2.204145285212707,0.5739629711082732,0.614923399041763,0.6627234307171228,0.33696801281570404,0.3847902996403779,0.4257697982817244,-0.3194969856236728,0.03214288392040743,0.4078146015895256,-1.2902291644001411,-0.9711559650564936,-0.6711932581089279,gp_planck_anchor,0.54,0.65
0.6011643835616439,97.50695906218927,59.258537973104644,0.47723570912371505,1.9461720750404055,0.6176816025137556,0.00028920615899297625,0.38202919132725144,0.09197044286316668,-0.9197526917217664,93.85777357037368,97.39231640778141,100.85663033439788,47.025078456654505,57.399586463187504,68.00111020869477,0.44606205077198385,0.47835992058681626,0.5150669266175821,1.5902828577599484,1.8964637542778762,2.2130137398165988,0.5773338354066593,0.6191366586313453,0.6666461845848776,0.33304168343374807,0.38057345393440734,0.42239584975748495,-0.32970690321268503,0.03656419999425755,0.40741492629566484,-1.295467776859985,-0.966022913455165,-0.6661095293342565,gp_planck_anchor,0.54,0.65
0.6101369863013699,98.03994946909641,59.54558727389848,0.47206086679839454,1.9558670309384798,0.6213130119975994,0.000292536610832225,0.3783944513915684,0.09075784850235281,-0.9200500534397502,94.37635786298699,97.87526589921865,101.39837807838602,47.30734575426488,57.84255566885,68.24277765661003,0.4413083455548812,0.4736508068536016,0.5094220553476119,1.6047274438421104,1.9138448845195373,2.2316294451457286,0.5808374230551939,0.6234056456261737,0.6704867398407042,0.3291975707810059,0.37630083247548585,0.418889097703419,-0.3379918227861968,0.041273258852949087,0.4116879992122924,-1.3034466915814247,-0.9600341740990483,-0.6642807908377398,gp_planck_anchor,0.54,0.65
0.6191095890410959,98.57551957737013,59.83354453182964,0.4669452987838427,1.9655400471263202,0.6249117816321484,0.0002958706649621403,0.37479234770288944,0.08962121957002624,-0.920292556558926,94.89763938949196,98.4168921960507,101.91686491106042,47.65330553184822,58.05604395212302,68.50893724789226,0.43682962944862913,0.46845174821860935,0.5038408374194819,1.602770232012414,1.9299777570593404,2.2417367309243654,0.5846080530619526,0.626927859324055,0.6742889931452004,0.3253917580605818,0.37277531547905546,0.415115158472082,-0.3395451716219359,0.04427052809009296,0.4145723779729683,-1.31783640743741,-0.9585564555695483,-0.6635487005264255,gp_planck_anchor,0.54,0.65
0.628082191780822,99.11367723325961,60.12234181970308,0.4618883181713372,1.9751888291754542,0.6284777790281182,0.0002992080014361946,0.37122301297044563,0.0885586600853549,-0.9204802710759338,95.39892075657919,98.87856029713366,102.43601719644545,48.18551886406956,58.30527981546247,68.87760983681622,0.4324130512070842,0.4640875214049509,0.49855978066167495,1.6149284900691074,1.941868662494512,2.255553718769508,0.5883716546920554,0.6314701698497028,0.6783755538644394,0.3213014826188412,0.36822919752048566,0.41134823117698144,-0.3429665467555428,0.04463855223118371,0.4178435473457615,-1.3217953260401776,-0.9645166695121965,-0.6598853659635578,gp_planck_anchor,0.54,0.65
0.637054794520548,99.65442964831155,60.4119056223888,0.4568892514665196,1.9848109129573464,0.6320108880988291,0.00030254830672260394,0.3676865635944483,0.08756805543396862,-0.9206134933896627,95.90464963053986,99.3824041124133,102.99402247871434,48.69233303673415,58.60190962999434,69.19754403804356,0.427740256295858,0.4593938434705156,0.4933155791167051,1.6266509694585094,1.9484779499986087,2.2663791532728585,0.5916893391329343,0.6354754682168552,0.682399107157337,0.3172742233211924,0.3642203249561847,0.4080274147853423,-0.3405610449834411,0.037649932451713455,0.4204657389449329,-1.3285989673944167,-0.9658738369114603,-0.654750362128514,gp_planck_anchor,0.54,0.65
0.646027397260274,100.19778335014816,60.70215704314848,0.4519474384910363,1.9944036729165902,0.6355110095531893,0.0003058912741554865,0.36418309917265523,0.08664707916040035,-0.9206927510207149,96.43899699676352,99.89343468954799,103.57830590756402,49.04857256730296,58.97384878839296,69.64351828729517,0.4229281087917626,0.4547058006036745,0.48786401761444687,1.6340444213537613,1.958213628050927,2.2779734666578513,0.5947051504132044,0.6393897116800755,0.6860155140916487,0.3136542852406343,0.3603025301054361,0.40500859944561457,-0.3408257293533055,0.0382043036367197,0.41837321916896264,-1.336963969297419,-0.9680998195437609,-0.6486313611634742,gp_planck_anchor,0.54,0.65
